Park Name,County,Park Identifier,MH Spaces,Phone,Address,Operater
GOLDEN STATE TP,ALAMEDA,01-0028-MP,18.0,(510) 333-1291,"1511 150TH AVE, SAN LEANDRO, CA 94578",KOON
HACIENDA TP,ALAMEDA,01-0029-MP,28.0,(510) 481-0516,"3784 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",STALEY
HIDDEN TP,ALAMEDA,01-0030-MP,35.0,(510) 481-0516,"651 WEST A ST, HAYWARD, CA 94541",BERNSTEIN
HILLVIEW TRAILER CT,ALAMEDA,01-0031-MP,14.0,(925) 443-3555,"1412 PORTOLA, LIVERMORE, CA 94550",BIRELEY
LONESOME DOVE MOBILE HOME PARK,ALAMEDA,01-0032-MP,17.0,(408) 778-4456,"828 OLIVINA AVE, LIVERMORE, CA 94551",WAGAR
CRAWFORDS TP,ALAMEDA,01-0033-MP,13.0,(510) 481-9901,"1525 105TH AVE, OAKLAND, CA 94603",WILLIAMS
AZALEA MHP,ALAMEDA,01-0038-MP,22.0,(408) 314-5666,"645 BARTLETT AVE, HAYWARD, CA 94541",HEIDARI
MAC ARTHUR\HIGH TP,ALAMEDA,01-0040-MP,26.0,(510) 562-7009,"3521 HIGH ST, OAKLAND, CA 94619",WILLIAMS
PARADISE TP,ALAMEDA,01-0044-MP,66.0,(925) 918-2416,"16115 E 14TH ST, SAN LEANDRO, CA 94578",GARCIA
PINES TRAILER PARK,ALAMEDA,01-0047-MP,29.0,(510) 393-2129,"1422 168TH AVE, SAN LEANDRO, CA 94578",SEP GROUP
SALEL'S MOBILEHOME PARK,ALAMEDA,01-0048-MP,66.0,(510) 495-5194,"747 LEWELLING BLVD, SAN LEANDRO, CA 94579",SALEL ENTERPRISES
SHADY HAVEN MHP,ALAMEDA,01-0052-MP,20.0,(510) 351-8363,"19150 HESPERIAN BLVD, HAYWARD, CA 94541",MCDONALD
KEN'S TRAILER PARK,ALAMEDA,01-0053-MP,13.0,(510) 481-0691,"15959 E 14TH ST, SAN LEANDRO, CA 94578",KELLER
HESPERIAN TP,ALAMEDA,01-0054-MP,58.0,(510) 481-9901,"15263 HESPERIAN BLVD, SAN LEANDRO, CA 94578",WILLIAMS
SLATERS TP,ALAMEDA,01-0055-MP,8.0,(510) 481-9901,"1415 153RD AVE, SAN LEANDRO, CA 94578",WILLIAMS
TRA TEL TRAILER PARK,ALAMEDA,01-0058-MP,34.0,(510) 548-7306,"3765 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",COOPER
A ST TP,ALAMEDA,01-0060-MP,37.0,(510) 785-9313,"280 WEST A ST, HAYWARD, CA 94541",JAMES M MARTIN CO INC
US TRAILER PARK,ALAMEDA,01-0061-MP,0.0,(408) 318-8486,"2860 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",BAEK
VAUGHNS TP,ALAMEDA,01-0062-MP,25.0,,"3945 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",STALEY
WAGON WHEEL MHP,ALAMEDA,01-0064-MP,53.0,(501) 537-4493,"3875 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",WAGON WHEEL MHP
WISHING WELL MHP,ALAMEDA,01-0065-MP,35.0,(510) 537-5825,"3998 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",ALIKIAN
FUCHSIA CT MHP,ALAMEDA,01-0066-MP,16.0,(510) 481-9901,"20632 FUCHSIA CT, HAYWARD, CA 94541",WILLIAMS
COLONIAL ACRES,ALAMEDA,01-0067-MP,23.0,(510) 750-4494,"17754 MEEKLAND AVE, HAYWARD, CA 94541",BUSK
CHETWOOD CREST MHP,ALAMEDA,01-0068-MP,86.0,(510) 538-7695,"3913 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",RANDALL BERGER ENTERPRISES
544 E 14TH MP,ALAMEDA,01-0070-MP,10.0,(510) 465-7076,"544 E 14TH ST, OAKLAND, CA 94606",544 EAST FOURTEEN ST LLC
SAN LEANDRO TP,ALAMEDA,01-0071-MP,45.0,(510) 614-5875,"2470 WASHINGTON ST, SAN LEANDRO, CA 94577",DOUGHTY
SAN LEANDRO MOBILE HOME AND RV PARK,ALAMEDA,01-0073-MP,160.0,(916) 419-1972,"2399 E 14TH ST, SAN LEANDRO, CA 94577",SAN LEANDRO MOBILE HOME AND RV PARK LP
SANDEV MOBILE PARK,ALAMEDA,01-0074-MP,71.0,(510) 352-1334,"2100 LEWELLING BLVD-OFFICE, SAN LEANDRO, CA 94579",JAMES NIELSEN & SANDRA NIELSEN T.I.C.
HAYWARD MOBILE COUNTRY CLUB,ALAMEDA,01-0075-MP,238.0,(510) 783-9500,"1200 W WINTON AVE, HAYWARD, CA 94545",REB & JMB FAMILY PROPERTIES LLC
CONTINENTAL MP,ALAMEDA,01-0076-MP,198.0,(510) 783-0150,"28606 HUNTWOOD AVE, HAYWARD, CA 94544",CONTINENTAL HAYWARD
CENTRAL PARK WEST,ALAMEDA,01-0077-MP,352.0,(510) 783-0150,"2500 PARKSIDE DR, UNION CITY, CA 94587",WESTERN VENTURES INC
SUN VALLEY MOBILE ESTATES,ALAMEDA,01-0078-MP,159.0,(925) 447-2220,"835 E AIRWAY BLVD, LIVERMORE, CA 94550",WATT
EDEN ROC MHP,ALAMEDA,01-0079-MP,200.0,(510) 782-9721,"28362 BRADSHIRE ST, HAYWARD, CA 94545",HOMETOWN AMERICA COMMUNITIES
PUEBLO SPRINGS MHP LTD,ALAMEDA,01-0080-MP,137.0,(510) 786-2791,"27930 PUEBLO SPRINGS, HAYWARD, CA 94545",PUEBLO SPRINGS MOBILE HOME PARK
NILES CANYON MOBILE ESTATES,ALAMEDA,01-0081-MP,165.0,(510) 792-7303,"711 OLD CANYON RD, FREMONT, CA 94536",CANYON
SOUTHLAKE MH ESTATES,ALAMEDA,01-0083-MP,331.0,(510) 651-0990,"4343 AUTO MALL PKWY, FREMONT, CA 94538",SOUTHLAKE ESTATES C/O CAL-AM PROPERTIES INC
TROPICS MH COMMUNITY,ALAMEDA,01-0084-MP,544.0,(510) 471-8550,"33000 ALAMDEN BLVD, UNION CITY, CA 94587",BESSIRE & CASENHISER INC
MISSION BAY MH COMMUNITY,ALAMEDA,01-0085-MP,366.0,(510) 352-4433,"15333 WICKS BLVD, SAN LEANDRO, CA 94579",BRANDENBURG & STAEDLER
EDEN GARDENS ESTATES,ALAMEDA,01-0086-MP,129.0,(510) 783-4433,"1150 W WINTON AVE, HAYWARD, CA 94545",EDEN GARDENS MHP
HACIENDA MHP,ALAMEDA,01-0087-MP,149.0,(925) 846-1527,"3231 VINEYARD AVE, PLEASANTON, CA 94566",HOON
VINEYARD ESTATES,ALAMEDA,01-0088-MP,208.0,(925) 846-5336,"3263 VINEYARD AVE, PLEASANTON, CA 94566",GUGGENHEIM
BESARO MOBILE HOME PARK,ALAMEDA,01-0089-MP,236.0,(510) 742-9402,"4141 DEEP CREEK RD, FREMONT, CA 94555",BESARO MOBILE HOME PARK LLC
SPANISH RANCH 1,ALAMEDA,01-0090-MP,462.0,(510) 783-5535,"28400 GRANADA CIR, HAYWARD, CA 94544",RUTHERFORD MHC MANAGEMENT
SUNRISE MHP,ALAMEDA,01-0091-MP,133.0,(925) 443-6293,"856 SUNDIAL CIR, LIVERMORE, CA 94550","R & D MGMT,LLC"
LIVERMORE TRAILER RANCH,ALAMEDA,01-0092-MP,41.0,(925) 447-0304,"1037 E AIR WAY, LIVERMORE, CA 94550",BASS
HOPE VALLEY RESORT,ALPINE,02-0002-MP,0.0,(530) 694-2203,"14655 HWY 88, MARKLEEVILLE, CA 96120",BRISSENDEN
CARSON RIVER RESORT,ALPINE,02-0004-MP,12.0,(530) 694-2229,"12399 US HIGHWAY 89, MARKLEEVILLE, CA 96120",ALGER
SIERRA PINES PARK,ALPINE,02-0007-MP,30.0,(530) 694-9105,"19750 HWY 89, MARKLEEVILLE, CA 96120",DYKES
UPPER BLUE CAMPGROUND,ALPINE,02-0008-MP,0.0,(916) 923-7069,"UPPER BLUE LAKE, MARKLEEVILLE, CA 96120",PG&E
LOWER BLUE LAKE CAMPGROUND,ALPINE,02-0009-MP,0.0,(916) 923-7069,"LOWER BLUE LAKE, MARKLEEVILLE, CA 96120",PG&E
MIDDLE CREEK CAMPGROUND,ALPINE,02-0010-MP,0.0,(916) 923-0769,"LOWER BLUE LAKE, MARKLEEVILLE, CA 96120",PG&E
UPPER BLUE LAKE DAM CAMPGROUND,ALPINE,02-0011-MP,0.0,(916) 923-7069,"UPPER BLUE LAKE, MARKLEEVILLE, CA 96120",PG&E
UPPER BLUE LAKE DAM EXPANSION,ALPINE,02-0012-MP,0.0,(916) 923-7069,"UPPER BLUE LAKE, CRYSTAL SPRINGS, CA 96120",PG&E
PINE GROVE MH ESTATES,AMADOR,03-0001-MP,74.0,(209) 296-5588,"14074 IRISHTOWN RD, PINE GROVE, CA 95665",BELDT
IONE MOBILE HOME PARK,AMADOR,03-0006-MP,49.0,(209) 274-2619,"1311 W MARLETTE ST, IONE, CA 95640",IONE MOBILE HOME PARK
FOREST POINT MANUFACTURED HOUSING COMMUNITY - 1,AMADOR,03-0008-MP,20.0,(209) 223-9664,"20521 HWY 88, PINE GROVE, CA 95665",HARMONY COMMUNITIES 2 LLC
PIONEER TP,AMADOR,03-0009-MP,9.0,(209) 223-0702,"24930 STATE HWY 88, PIONEER, CA 95666",JOANN RAMSEY
GOLD OAKS MOBILE HOME PARK,AMADOR,03-0011-MP,24.0,(209) 256-9211,"12594 KENNEDY FLAT RD, MARTELL, CA 95654",GOLD OAK MANUFACTURED HOUSING COMMUNITY LLC
GOLD COUNTRY CAMPGROUND LLC,AMADOR,03-0013-MP,12.0,(209) 296-4650,"13026 TABEAU RD, PINE GROVE, CA 95665",GOLD COUNTRY CAMPGROUND LLC
SUTTER PINES,AMADOR,03-0017-MP,11.0,(209) 304-5674,"14906 STATE HWY 88, JACKSON, CA 95642",MHB LLC
OK CORRAL TP,AMADOR,03-0018-MP,6.0,(209) 969-9817,"27065 E HWY 88, PIONEER, CA 95666",FORD
HIDDEN CREEK MHP,AMADOR,03-0019-MP,5.0,(209) 296-2172,"14721 PIONEER VOLCANO ROAD, PIONEER, CA 95666",ESPOSITO
BUCKHORN COMMUNITY LP,AMADOR,03-0020-MP,48.0,(858) 220-9387,"26600 HWY 88, PIONEER, CA 95666","BUCKHORN COMMUNITY,LP"
BEAR RIVER RESORT,AMADOR,03-0023-MP,4.0,(209) 295-4868,"40800 HWY 88, PIONEER, CA 95666",FRAZIER 
CAMANCHE NORTH SHORE RECREATION AREA,AMADOR,03-0029-MP,146.0,(209) 763-5912,"2000 CAMANCHE RD, IONE, CA 95640",EAST BAY MUNICIPAL UTILITY DISTRICT
LAKE AMADOR RESORT,AMADOR,03-0030-MP,4.0,(209) 274-4739,"7500 LAKE AMADOR DR, IONE, CA 95640",LOCKHART
MORIAH HEIGHTS MOBILE VILLAGE,AMADOR,03-0031-MP,18.0,(209) 245-6600,"240 HWY 16 SACTO CO LINE, PLYMOUTH, CA 95669",HOPE FOUNDATION
RANCHO DEL ORO,AMADOR,03-0034-MP,23.0,,"8825 OLD SACRAMENTO RD, PLYMOUTH, CA 95669",ADVANTAGE GRANITE BAY
PLASSES RESORT,AMADOR,03-0035-MP,0.0,(209) 258-8814,"30001 PLASSE RD, SILVER LAKE, CA 95666",PLASSE'S MEADOW GROUP
ROARING CAMP,AMADOR,03-0038-MP,0.0,(209) 296-4100,"PINE ACRES, PINE GROVE, CA 95665",RODMAN
PARDEE RECREATION AREA,AMADOR,03-0039-MP,6.0,(209) 772-1472,"4900 STONEY CREEK RD, IONE, CA 95640",EAST BAY MUNICIPAL UTILITY DISTRICT
FOREST PINES MANUFACTURED HOUSING COMMUNITY - 2,AMADOR,03-0040-MP,29.0,(209) 223-9664,"20371 HWY 88, PINE GROVE, CA 95665",HARMONY COMMUNITIES 2 LLC
PIONEER CREEK MH COMMUNITY,AMADOR,03-0041-MP,64.0,(209) 295-7307,"16565 PROSPECT PLACE RD, PIONEER, CA 95666",VISCOVICH FAMILY PARTNERSHIP
HIGHLANDS MHP,AMADOR,03-0042-MP,59.0,(209) 223-2680,"150 CLINTON RD, JACKSON, CA 95642",LOVING FAMILY PARTNERSHIP OF JACKSON
49ER VILLAGE RV RESORT,AMADOR,03-0043-MP,2.0,(209) 245-6981,"18265 HWY 49, PLYMOUTH, CA 95669",SUN 49ER VILLAGE RV LLC
THE OAKS COMMUNITY ASSOCIATION,AMADOR,03-0046-MP,209.0,(209) 274-6056,"5607 JACKSON VALLEY RD, IONE, CA 95640",THE OAKS COMMUNITY ASSOCIATION
MEADOW PINES ESTATES MHP,AMADOR,03-0047-MP,50.0,(209) 274-2422,"23750 CARSON DR, PIONEER, CA 95666",CHAUVEL
ROLLINGWOOD ESTATES,AMADOR,03-0048-MP,219.0,(209) 223-2288,"20 ROLLINGWOOD DR #500, JACKSON, CA 95642",C AND L INVESTMENT COMPANY INC
PLYMOUTH MOBILE MANOR,AMADOR,03-0049-MP,32.0,(209) 743-4653,"9419 LANDRUM ST, PLYMOUTH, CA 95669",RODERICK L JOHNSON TRUST
CASTLE VILLAGE MOBILE HOME PARK,AMADOR,03-0050-MP,120.0,(209) 274-2050,"1400 W MARLETTE ST, IONE, CA 95640",FUJINAKA CASTLE LP
RANCHO CICADA RETREAT,AMADOR,03-0051-MP,0.0,(209) 245-4841,"10001 BELL RD, PLYMOUTH, CA 95669",ROBERTS
BRIDGE ST CT,BUTTE,04-0001-MP,9.0,(530) 533-2169,"1945 BRIDGE ST, OROVILLE, CA 95966",VON BARGEN
PINE VIEW HEIGHTS MHP,BUTTE,04-0003-MP,15.0,(530) 864-5463,"34 WAYLAND RD, PARADISE, CA 95967",NELSON
HUDSONS MOBILE HOME PARK,BUTTE,04-0004-MP,12.0,(530) 872-1573,"7974 SKYWAY, PARADISE, CA 95969",EDGECOMB
PHEASANT RIDGE MOBILE ESTATES,BUTTE,04-0005-MP,67.0,(530) 872-9563,"7075 CLARK RD, PARADISE, CA 95969",PHEASANT
RAMBLING ROSE MP,BUTTE,04-0007-MP,13.0,(530) 514-6686,"1679 OROVILLE DAM BLVD WEST, OROVILLE, CA 95965",SMITH
O GRIDLEY TP,BUTTE,04-0009-MP,0.0,(530) 846-0635,"260 OHIO ST, GRIDLEY, CA 95948",SALL
LASSEN MHP,BUTTE,04-0011-MP,73.0,(530) 343-3941,"2875 MORSEMAN AVE, CHICO, CA 95973",BUTLER FAMILY ENTERPRISES LLC
LINDO MOTEL APTS\TP,BUTTE,04-0012-MP,0.0,(530) 591-3610,"113 W LINDO AVE, CHICO, CA 95926",PIACENTINE
OROLAKE MOBILE HOME PARK,BUTTE,04-0014-MP,23.0,(530) 894-0404,"3425 ORANGE ST, OROVILLE, CA 95966",SPP OROVILLE 3 LLC
PARADISE TP,BUTTE,04-0016-MP,2.0,(530) 877-6015,"6154 LUCKY JOHN RD, PARADISE, CA 95969",HAYGOOD
PARAMOUNT TP,BUTTE,04-0021-MP,35.0,(530) 343-3855,"2328 ESPLANADE, CHICO, CA 95926",KHAN
ROBINSON CORNER PARK,BUTTE,04-0022-MP,20.0,(858) 361-4499,"1643 E GRIDLEY RD, OROVILLE, CA 95965",DHILLON
SHADY REST MOBILE HOME PARK,BUTTE,04-0026-MP,23.0,(530) 222-8261,"37 ACACIA AVE, OROVILLE, CA 95966",SHADY REST MHP
MERCED TRAILER CT,BUTTE,04-0027-MP,9.0,(530) 846-4227,"1607 ORO DAM BLVD WEST, OROVILLE, CA 95965",WEINZINGER
BUTTE GRANDE MHP,BUTTE,04-0030-MP,29.0,(209) 845-3836,"1405 HWY 99, GRIDLEY, CA 95948",HL ANGEL LLC
PARADISE MOBILE ESTATES,BUTTE,04-0032-MP,39.0,(530) 826-0325,"1354 ELLIOTT RD, PARADISE, CA 95969","PARADISE MOBILE ESTATES,LLC"
OAK STREET MHP,BUTTE,04-0036-MP,15.0,(530) 533-0106,"1681 OAK ST, OROVILLE, CA 95965",OAK STREET MHP LLC
EVERGREEN MHP,BUTTE,04-0037-MP,36.0,(530) 877-5413,"7209 SKYWAY, PARADISE, CA 95969",WESTERN PACIFIC DEVELOPMENT
CHICO TRAILER HAVEN,BUTTE,04-0039-MP,41.0,(209) 932-8747,"1412 NORD AVE, CHICO, CA 95926",CHICO TRAILER HAVEN LLC
SUNDOWN MHP,BUTTE,04-0040-MP,71.0,(530) 533-6059,"1616/1668 ORO DAM BLVD WEST, OROVILLE, CA 95965",SUNDOWN ESTATES MHC
J AND M,BUTTE,04-0041-MP,6.0,(530) 533-1362,"5770 CLARK RD, PARADISE, CA 95969",NEADE
ACRES OF PARADISE MHP,BUTTE,04-0042-MP,53.0,(909) 793-5233,"6280 PENTZ RD, PARADISE, CA 95969",ACRES OF PARADISE MHP LLC
BIG BEND MHP,BUTTE,04-0043-MP,35.0,(843) 251-7800,"4318 4320 BIG BEND RD, OROVILLE, CA 95965",FNX3 LLC
PINECREST MOBILE HOME PARK,BUTTE,04-0044-MP,77.0,(530) 877-4351,"5436 CLARK RD, PARADISE, CA 95969",PINECREST MOBILE HOME PARK LLC
PINE SPRINGS MHP,BUTTE,04-0045-MP,63.0,(530) 877-1467,"6920 CLARK RD, PARADISE, CA 95969","PINE SPRINGS ASSET PARTNERS,LP"
SKYWAY VILLA MHP,BUTTE,04-0046-MP,31.0,(530) 877-1350,"7726 SKYWAY, PARADISE, CA 95969",SKYWAY VALUE LLC
PLEASANT VALLEY MOBILE HOME COMMUNITY,BUTTE,04-0048-MP,80.0,(530) 533-9282,"3415 ORO DAM BLVD EAST, OROVILLE, CA 95965",PLEASANT VALLEY MHC
SKYWAY TRAILER COURT,BUTTE,04-0049-MP,17.0,(530) 249-2974,"5615 SKYWAY, PARADISE, CA 95969",SUNSET PROPERTIES
ALMOND GROVE MHP,BUTTE,04-0050-MP,150.0,(530) 342-6056,"567 E LASSEN AVE, CHICO, CA 95973",ALMOND GROVE MHP INVESTORS
FEATHER FALLS MOBILE ESTATES,BUTTE,04-0051-MP,39.0,(530) 532-1233,"2465 PALERMO RD, PALERMO, CA 95968","PALERMO GROUP I,LLC"
RIFFLES RV PARK & CAMPGROUND,BUTTE,04-0052-MP,6.0,(530) 534-9956,"4488 PACIFIC HEIGHTS RD, OROVILLE, CA 95965",SEIDENGLANZ
SCOTTYS TP,BUTTE,04-0054-MP,12.0,(707) 487-7031,"12429 RIVER ROAD, CHICO, CA 95973",SCOTT
OROVILLE MOBILEHOME PARK LLC,BUTTE,04-0055-MP,34.0,(530) 534-7750,"4588 PACIFIC HEIGHTS RD, OROVILLE, CA 95965",OROVILLE MOBILEHOME PARK
CHARDEN CT,BUTTE,04-0056-MP,6.0,(530) 518-5441,"4783 LINCOLN BLVD, OROVILLE, CA 95966",TJ MANAGEMENT
PLEASANT GROVE MHP,BUTTE,04-0057-MP,88.0,(530) 533-5193,"6986 LINCOLN BLVD, OROVILLE, CA 95966",PULIZ
FORBES TOWN MOBILE HOME AND RV,BUTTE,04-0058-MP,15.0,(619) 215-0904,"5528 FORBESTOWN RD, FORBESTOWN, CA 95941",L & J REEDER LLC
PONDEROSA MOBILE ESTATES,BUTTE,04-0059-MP,54.0,(916) 936-5450,"6656 PENTZ RD, PARADISE, CA 95969",PONDEROSA MHC LLC
KENTWOOD MOBILE ESTATES,BUTTE,04-0060-MP,137.0,(530) 343-4881,"123 HENSHAW AVE, CHICO, CA 95926",BOURGEOIS
FOREST GROVE MOBILE HOME,BUTTE,04-0061-MP,17.0,(530) 520-4722,"8764 SKYWAY, PARADISE, CA 95969",SHERIDAN
PALERMO MHP,BUTTE,04-0063-MP,10.0,(530) 877-6616,"2099 PALERMO RD, PALERMO, CA 95968",JARLDANE
GOLDEN FEATHER MOBILE HOME PARK,BUTTE,04-0064-MP,100.0,(530) 533-8679,"703 ORO DAM BLVD WEST, OROVILLE, CA 95965",CASSIN
IRON OAKS MH & RV COMMUNITY,BUTTE,04-0065-MP,40.0,(530) 533-4348,"6355 LINCOLN AVE, OROVILLE, CA 95965",6355 LINCOLN LLC
FOREST RANCH MP,BUTTE,04-0067-MP,15.0,(530) 896-1604,"15685 FOREST RANCH RD, CHICO, CA 95926",OSEGUERA
FOREST VILLAGE LLC,BUTTE,04-0069-MP,20.0,(916) 765-1250,"15614 FITZGERALD DR, FOREST RANCH, CA 95942",FOREST VILLAGE LLC
SIERRA TRAILS MHP,BUTTE,04-0070-MP,45.0,(530) 533-7519,"1451 ORO DAM BLVD WEST, OROVILLE, CA 95965",SIERRA TRAILS
RANCHO VILLA MHP,BUTTE,04-0071-MP,16.0,(530) 713-6109,"1170 HWY 99, GRIDLEY, CA 95948",MOORE
EL DORADO MOBILE ESTATES,BUTTE,04-0072-MP,92.0,(530) 877-2856,"9289 SKYWAY, PARADISE, CA 95969",MORGAN
RIDGEWOOD MHP,BUTTE,04-0079-MP,103.0,(530) 872-1124,"6674 PENTZ RD 5A, PARADISE, CA 95969",FULLER
GOLDEN OAKS MHP,BUTTE,04-0080-MP,52.0,(530) 693-4268,"3285 HWY 70, OROVILLE, CA 95965",GOLDEN OAKS MOBILE HOME PARK LLC
LAKE VISTA I,BUTTE,04-0081-MP,89.0,(530) 533-7800,"6368 LINCOLN BLVD, OROVILLE, CA 95965",COB MHC LAKE VISTA ONE LLC
MOUNTAIN VIEW MOBILE ACRES,BUTTE,04-0082-MP,116.0,(530) 342-2989,"3156 ESPLANADE, CHICO, CA 95973",MOUNTAIN VIEW ACRES
SAWMILL EDGEWOOD MHP,BUTTE,04-0083-MP,45.0,(916) 432-3298,"5427 EDGEWOOD LN, PARADISE, CA 95969",SAWMILL EDGEWOOD MHP LLC
CAPE COD MOBILE ESTATES,BUTTE,04-0084-MP,49.0,(530) 656-5653,"6799 SKYWAY, PARADISE, CA 95969",CAPE COD MOBILE ESTATES
RANCHO CHICO MHP,BUTTE,04-0085-MP,212.0,(530) 891-5186,"3541 CALLE PRINCIPAL, CHICO, CA 95973",RANCHO CHICO MHP LP
IDLEWILD ESTATES,BUTTE,04-0086-MP,35.0,(530) 282-5652,"5393 SAWMILL RD, PARADISE, CA 95969",IDLEWILD ESTATES LLC
COTTONWOOD MOBILE ESTATES,BUTTE,04-0087-MP,107.0,(530) 534-0804,"2300 5TH AVE, OROVILLE, CA 95965",NORCAL ENTERPRISES
TOWN\COUNTRY MHP,BUTTE,04-0088-MP,25.0,(530) 534-0516,"6580 LINCOLN BLVD, OROVILLE, CA 95966",BONES
MEADOWBROOK OAK MOBILE RANCH,BUTTE,04-0091-MP,25.0,(916) 435-0104,"2426 WHEELOCK RD, OROVILLE, CA 95965",HYALITE INVESTMENTS
QUAIL TRAILS VILLAGE,BUTTE,04-0092-MP,99.0,(530) 877-6581,"5081 WILDERNESS WAY, PARADISE, CA 95969",LENZ
SHERWOOD FOREST MHP,BUTTE,04-0093-MP,73.0,(530) 801-1996,"1280 WAGSTAFF RD, PARADISE, CA 95969",HELD
HOLLY HILLS MOBILE ESTATES,BUTTE,04-0094-MP,48.0,(530) 592-6583,"5471 S LIBBY RD, PARADISE, CA 95969",AHR
ROYAL PALMS MOBILE HOME PARK,BUTTE,04-0097-MP,50.0,(209) 932-8747,"2135 NORD AVE, CHICO, CA 95926",ROYAL PALM MOBILE HOME PARK INVESTORS LLC
OLIVE HILL MANUFACTURED HOUSING COMMUNITY,BUTTE,04-0098-MP,128.0,(919) 533-8482,"2921 WYANDOTTE AVE, OROVILLE, CA 95966",COBBLESTONE II OLH LLC
PARKVIEW ESTATES,BUTTE,04-0099-MP,8.0,(530) 854-4944,"3864 OLIVE HWY, OROVILLE, CA 95965",FRIENDLY ACRES LLC
ROCKY LANE MP,BUTTE,04-0101-MP,28.0,(530) 877-7902,"6582 ROCKY LN, PARADISE, CA 95969",MCNEIL
FOREST GLEN MHP,BUTTE,04-0102-MP,24.0,(408) 371-1322,"1080 PEARSON RD, PARADISE, CA 95969",CATANHO
BUTTE CREEK MHP,BUTTE,04-0103-MP,31.0,(530) 343-9200,"2321 HONEY RUN RD BOX 5, CHICO, CA 95928",NAVI
COHASSET MOBILE ESTATES,BUTTE,04-0104-MP,14.0,(707) 554-4434,"8917 COHASSET RD, COHASSET, CA 95973",KING
OAKHILL ESTATES,BUTTE,04-0105-MP,20.0,(530) 249-2974,"1340  BILLE RD, PARADISE, CA 95969",OAKHILL ESTATES LLC
WOODLANDS MOBILE HOME PARK,BUTTE,04-0106-MP,21.0,(530) 872-1431,"5838 BLACK OLIVE, PARADISE, CA 95969",SCHOTT
BLUE SPRUCE MOBILE ESTATES,BUTTE,04-0107-MP,32.0,(530) 872-2920,"7035 PENTZ RD, PARADISE, CA 95969",MORGAN
CHICO MOBILE HOME PARK,BUTTE,04-0108-MP,71.0,(530) 345-5987,"370 E LASSEN AVE, CHICO, CA 95973",CHICO MOBILE HOME PARK LLC
CANYON VIEW ESTATES,BUTTE,04-0109-MP,14.0,(530) 877-6907,"5322 EDGEWOOD LN, PARADISE, CA 95969",WILLIAMS
CHICO MOBILE COUNTRY CLUB,BUTTE,04-0111-MP,178.0,(949) 481-0909,"1901 DAYTON ROAD, CHICO, CA 95928",BOWLING
THE OAKS SENIOR COMMUNITY,BUTTE,04-0112-MP,284.0,(530) 589-2969,"183 CLUBHOUSE PARKWAY, OROVILLE, CA 95965",CHARLES J MARCOTTE LLC
DYE,BUTTE,04-0113-MP,2.0,(530) 868-5955,"3063 6TH ST, BIGGS, CA 95917",DYE
HARMONY MOBILE HOME PARK,BUTTE,04-0114-MP,27.0,(415) 860-9151,"1564 NORD AVE, CHICO, CA 95926",SPP CHICO 1 LLC
COACH HOUSE MOBILE ESTATES,BUTTE,04-0115-MP,55.0,(530) 342-5860,"982 E LASSEN AVE, CHICO, CA 95973",ROJAK
