Park Name,County,Park Identifier,Park Address,MH Spaces,Operated by
CRAWFORDS TP,ALAMEDA,01-0033-MP,"1525 105TH AVE, OAKLAND, CA 94603, (510) 481-9901",13,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578"
AZALEA MHP,ALAMEDA,01-0038-MP,"645 BARTLETT AVE, HAYWARD, CA 94541, (408) 314-5666",22,"HEIDARI, RAY, PO BOX 23863, SAN JOSE, CA 95153"
MAC ARTHUR\HIGH TP,ALAMEDA,01-0040-MP,"3521 HIGH ST, OAKLAND, CA 94619, (510) 562-7009",26,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578"
PARADISE TP,ALAMEDA,01-0044-MP,"16115 E 14TH ST, SAN LEANDRO, CA 94578, (925) 918-2416",66,"GARCIA, BARBARA, 16115 E 14TH ST OFFICE 1, SAN LEANDRO, CA 94578"
PINES TRAILER PARK,ALAMEDA,01-0047-MP,"1422 168TH AVE, SAN LEANDRO, CA 94578, (510) 393-2129",29,"SEP GROUP, LLC, 142 N MILPITAS BLVD #321, MILPITAS, CA 95035"
SALEL'S MOBILEHOME PARK,ALAMEDA,01-0048-MP,"747 LEWELLING BLVD, SAN LEANDRO, CA 94579, (510) 495-5194",66,"SALEL ENTERPRISES, PO BOX 2229, DANVILLE, CA 94526"
SHADY HAVEN MHP,ALAMEDA,01-0052-MP,"19150 HESPERIAN BLVD, HAYWARD, CA 94541, (510) 351-8363",20,"MCDONALD, DENNIS, PO BOX 196, MELVILLE, MT 59055"
KEN'S TRAILER PARK,ALAMEDA,01-0053-MP,"15959 E 14TH ST, SAN LEANDRO, CA 94578, (510) 481-0691",13,"KELLER, ADDIE, PO BOX 1149, SAN LEANDRO, CA 94577"
HESPERIAN TP,ALAMEDA,01-0054-MP,"15263 HESPERIAN BLVD, SAN LEANDRO, CA 94578, (510) 481-9901",58,"WILLIAMS, KEN & WIN FRADY, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578"
SLATERS TP,ALAMEDA,01-0055-MP,"1415 153RD AVE, SAN LEANDRO, CA 94578, (510) 481-9901",8,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578"
TRA TEL TRAILER PARK,ALAMEDA,01-0058-MP,"3765 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (510) 548-7306",34,"COOPER, MICHAEL/SHEILA, PAUL DRESMICK 2937 FOREST AVE, BERKELEY, CA 94705"
A ST TP,ALAMEDA,01-0060-MP,"280 WEST A ST, HAYWARD, CA 94541, (510) 785-9313",37,"JAMES M MARTIN CO INC, 11 CREST COURT, ALAMO, CA 94507"
US TRAILER PARK,ALAMEDA,01-0061-MP,"2860 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (408) 318-8486",0,"BAEK, DALE, 1825 W SAN CARLOS ST, SAN JOSE, CA 95128"
VAUGHNS TP,ALAMEDA,01-0062-MP,"3945 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546",25,"STALEY, RON, 10633 DUBLIN CYN RD, PLEASANTON, CA 94588"
WAGON WHEEL MHP,ALAMEDA,01-0064-MP,"3875 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (501) 537-4493",53,"WAGON WHEEL MHP, LLC, PO BOX 20172, CASTRO VALLEY, CA 94546"
WISHING WELL MHP,ALAMEDA,01-0065-MP,"3998 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (510) 537-5825",35,"ALIKIAN, SAMUEL, 16805 HALLMARK COURT, CASTRO VALLEY, CA 94552"
FUCHSIA CT MHP,ALAMEDA,01-0066-MP,"20632 FUCHSIA CT, HAYWARD, CA 94541, (510) 481-9901",16,"WILLIAMS, KEN, 15263 HESPERIAN BLVD. #57, SAN LEANDRO, CA 94578"
COLONIAL ACRES,ALAMEDA,01-0067-MP,"17754 MEEKLAND AVE, HAYWARD, CA 94541, (510) 750-4494",23,"BUSK, BURTON, 17752 MEEKLAND, HAYWARD, CA 94541"
CHETWOOD CREST MHP,ALAMEDA,01-0068-MP,"3913 CASTRO VALLEY BLVD, CASTRO VALLEY, CA 94546, (510) 538-7695",86,"RANDALL BERGER ENTERPRISES, 1000 MARINA VILLAGE PKY  STE. 130, ALAMEDA, CA 94501"
544 E 14TH MP,ALAMEDA,01-0070-MP,"544 E 14TH ST, OAKLAND, CA 94606, (510) 465-7076",10,"544 EAST FOURTEEN ST LLC, 544 EAST 14TH ST SUITE # 1, OAKLAND, CA 94606"
SAN LEANDRO TP,ALAMEDA,01-0071-MP,"2470 WASHINGTON ST, SAN LEANDRO, CA 94577, (510) 614-5875",45,"DOUGHTY, ERIC/DIANNE, 9004 VILLAGE VIEW DR, SAN JOSE, CA 95140"
SAN LEANDRO MOBILE HOME AND RV PARK,ALAMEDA,01-0073-MP,"2399 E 14TH ST, SAN LEANDRO, CA 94577, (916) 419-1972",160,"SAN LEANDRO MOBILE HOME AND RV PARK LP, 3308 EL CAMINO AVE 300-608, SACRAMENTO, CA 95821"
SANDEV MOBILE PARK,ALAMEDA,01-0074-MP,"2100 LEWELLING BLVD-OFFICE, SAN LEANDRO, CA 94579, (510) 352-1334",71,"JAMES NIELSEN & SANDRA NIELSEN T.I.C., 871 38TH AVE, SANTA CRUZ, CA 95062"
HAYWARD MOBILE COUNTRY CLUB,ALAMEDA,01-0075-MP,"1200 W WINTON AVE, HAYWARD, CA 94545, (510) 783-9500",238,"REB & JMB FAMILY PROPERTIES LLC, PO BOX 1666, SHINGLE SPRINGS, CA 95682"
CONTINENTAL MP,ALAMEDA,01-0076-MP,"28606 HUNTWOOD AVE, HAYWARD, CA 94544, (510) 783-0150",198,"CONTINENTAL HAYWARD, LLC, 28606 HUNTWOOD AVE, HAYWARD, CA 94544"
CENTRAL PARK WEST,ALAMEDA,01-0077-MP,"2500 PARKSIDE DR, UNION CITY, CA 94587, (510) 783-0150",352,"WESTERN VENTURES INC, 2500 PARKSIDE DR, VINEBURG, CA 95487"
SUN VALLEY MOBILE ESTATES,ALAMEDA,01-0078-MP,"835 E AIRWAY BLVD, LIVERMORE, CA 94550, (925) 447-2220",159,"WATT, KENNETH, C/O CHARLES KINE MANAGEMENT 151 CALLAN AVE SUITE 213, SAN LEANDRO, CA 94577"
EDEN ROC MHP,ALAMEDA,01-0079-MP,"28362 BRADSHIRE ST, HAYWARD, CA 94545, (510) 782-9721",200,"HOMETOWN AMERICA COMMUNITIES, 110 N WACKER DR, CHICAGO, IL 60606"
PUEBLO SPRINGS MHP LTD,ALAMEDA,01-0080-MP,"27930 PUEBLO SPRINGS, HAYWARD, CA 94545, (510) 786-2791",137,"PUEBLO SPRINGS MOBILE HOME PARK, LTD., C/O FRANCIS PROPERTY MANAGEMENT, INC 10351 SANTA MONICA BLVD STE 270, LOS ANGELES, CA 90025"
NILES CANYON MOBILE ESTATES,ALAMEDA,01-0081-MP,"711 OLD CANYON RD, FREMONT, CA 94536, (510) 792-7303",165,"CANYON, NILES C/O CAL-AM PROPERTIES INC, 385 CLINTON STREET, COSTA MESA, CA 92626"
SOUTHLAKE MH ESTATES,ALAMEDA,01-0083-MP,"4343 AUTO MALL PKWY, FREMONT, CA 94538, (510) 651-0990",331,"SOUTHLAKE ESTATES C/O CAL-AM PROPERTIES INC, 385 CLINTON ST, COSTA MESA, CA 92626"
TROPICS MH COMMUNITY,ALAMEDA,01-0084-MP,"33000 ALAMDEN BLVD, UNION CITY, CA 94587, (510) 471-8550",544,"BESSIRE & CASENHISER INC, 661 BREA CANYON RD SUITE # 7, WALNUT, CA 91789"
MISSION BAY MH COMMUNITY,ALAMEDA,01-0085-MP,"15333 WICKS BLVD, SAN LEANDRO, CA 94579, (510) 352-4433",366,"BRANDENBURG & STAEDLER, 1122 WILLOW ST SUITE # 200, SAN JOSE, CA 95113"
EDEN GARDENS ESTATES,ALAMEDA,01-0086-MP,"1150 W WINTON AVE, HAYWARD, CA 94545, (510) 783-4433",129,"EDEN GARDENS MHP, LLC, 770 TAMALPAIS DR SUITE # 401B, CORTE MADERA, CA 94925"
HACIENDA MHP,ALAMEDA,01-0087-MP,"3231 VINEYARD AVE, PLEASANTON, CA 94566, (925) 846-1527",149,"HOON, PHILIP, 5 BON AIR RD #225, LARKSPUR, CA 94939"
VINEYARD ESTATES,ALAMEDA,01-0088-MP,"3263 VINEYARD AVE, PLEASANTON, CA 94566, (925) 846-5336",208,"GUGGENHEIM, DANIEL, C/O BESSIRE & CASENHISER INC 430 S SAN DIMAS AVE, SAN DIMAS, CA 91773"
BESARO MOBILE HOME PARK,ALAMEDA,01-0089-MP,"4141 DEEP CREEK RD, FREMONT, CA 94555, (510) 742-9402",236,"BESARO MOBILE HOME PARK LLC, 4141 DEEP CREEK RD-OFC, FREMONT, CA 94555"
SPANISH RANCH 1,ALAMEDA,01-0090-MP,"28400 GRANADA CIR, HAYWARD, CA 94544, (510) 783-5535",462,"RUTHERFORD MHC MANAGEMENT, C/O MONTEREY COAST L.P. 241 W MAIN ST, LOS GATOS, CA 95030"
SUNRISE MHP,ALAMEDA,01-0091-MP,"856 SUNDIAL CIR, LIVERMORE, CA 94550, (925) 443-6293",133,"R & D MGMT,LLC, 730 POLHEMUS ROAD SUITE # 204, SAN MATEO, CA 94402"
LIVERMORE TRAILER RANCH,ALAMEDA,01-0092-MP,"1037 E AIR WAY, LIVERMORE, CA 94550, (925) 447-0304",41,"BASS, TERRELL, 2184 DEER OAK WY, DANVILLE, CA 94506"
HOPE VALLEY RESORT,ALPINE,02-0002-MP,"14655 HWY 88, MARKLEEVILLE, CA 96120, (530) 694-2203",0,"BRISSENDEN, JOHN & PATTY, 14255 HWY 88, MARKLEEVILLE, CA 96120"
CARSON RIVER RESORT,ALPINE,02-0004-MP,"12399 US HIGHWAY 89, MARKLEEVILLE, CA 96120, (530) 694-2229",12,"ALGER, ANGEL, PO BOX 457, MARKLEEVILLE, CA 96120"
SIERRA PINES PARK,ALPINE,02-0007-MP,"19750 HWY 89, MARKLEEVILLE, CA 96120, (530) 694-9105",30,"DYKES, ROB, PO BOX 53, MINDEN, NV 89423"
UPPER BLUE CAMPGROUND,ALPINE,02-0008-MP,"UPPER BLUE LAKE, MARKLEEVILLE, CA 96120, (916) 923-7069",0,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO, CA 95833"
LOWER BLUE LAKE CAMPGROUND,ALPINE,02-0009-MP,"LOWER BLUE LAKE, MARKLEEVILLE, CA 96120, (916) 923-7069",0,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO, CA 95833"
MIDDLE CREEK CAMPGROUND,ALPINE,02-0010-MP,"LOWER BLUE LAKE, MARKLEEVILLE, CA 96120, (916) 923-0769",0,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO, CA 95833"
UPPER BLUE LAKE DAM CAMPGROUND,ALPINE,02-0011-MP,"UPPER BLUE LAKE, MARKLEEVILLE, CA 96120, (916) 923-7069",0,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO, CA 95833"
UPPER BLUE LAKE DAM EXPANSION,ALPINE,02-0012-MP,"UPPER BLUE LAKE, CRYSTAL SPRINGS, CA 96120, (916) 923-7069",0,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO, CA 95833"
PINE GROVE MH ESTATES,AMADOR,03-0001-MP,"14074 IRISHTOWN RD, PINE GROVE, CA 95665, (209) 296-5588",74,"BELDT, HOMER, 14074 IRISHTOWN ROAD #91, PINE GROVE, CA 95665"
IONE MOBILE HOME PARK,AMADOR,03-0006-MP,"1311 W MARLETTE ST, IONE, CA 95640, (209) 274-2619",49,"IONE MOBILE HOME PARK, LLC, 7660 SUNDRIFT LANE, SACRAMENTO, CA 95828"
FOREST POINT MANUFACTURED HOUSING COMMUNITY - 1,AMADOR,03-0008-MP,"20521 HWY 88, PINE GROVE, CA 95665, (209) 223-9664",20,"HARMONY COMMUNITIES 2 LLC, 6653 EMBARCADERO DR SUITE # C, STOCKTON, CA 95219"
PIONEER TP,AMADOR,03-0009-MP,"24930 STATE HWY 88, PIONEER, CA 95666, (209) 223-0702",9,"JOANN RAMSEY, 1025 NORTH MAIN, JACKSON, CA 95642"
GOLD OAKS MOBILE HOME PARK,AMADOR,03-0011-MP,"12594 KENNEDY FLAT RD, MARTELL, CA 95654, (209) 256-9211",24,"GOLD OAK MANUFACTURED HOUSING COMMUNITY LLC, 6653 EMBARCADERO DR. SUITE # C, STOCKTON, CA 95219"
GOLD COUNTRY CAMPGROUND LLC,AMADOR,03-0013-MP,"13026 TABEAU RD, PINE GROVE, CA 95665, (209) 296-4650",12,"GOLD COUNTRY CAMPGROUND LLC, 363 PROSPECT ST, LA JOLLA, CA 92037"
SUTTER PINES,AMADOR,03-0017-MP,"14906 STATE HWY 88, JACKSON, CA 95642, (209) 304-5674",11,"MHB LLC, 12072 COLT DR, SUTTER CREEK, CA 95685"
OK CORRAL TP,AMADOR,03-0018-MP,"27065 E HWY 88, PIONEER, CA 95666, (209) 969-9817",6,"FORD, GERALD, PO BOX 902, LINDEN, CA 95236"
HIDDEN CREEK MHP,AMADOR,03-0019-MP,"14721 PIONEER VOLCANO ROAD, PIONEER, CA 95666, (209) 296-2172",5,"ESPOSITO, TOM, 14721 PIONEER VOLCANO RD, PIONEER, CA 95666"
BUCKHORN COMMUNITY LP,AMADOR,03-0020-MP,"26600 HWY 88, PIONEER, CA 95666, (858) 220-9387",48,"BUCKHORN COMMUNITY,LP, 3090 FITE CIRCLE SUITE # 203, SACRAMENTO, CA 95827"
BEAR RIVER RESORT,AMADOR,03-0023-MP,"40800 HWY 88, PIONEER, CA 95666, (209) 295-4868",4,"FRAZIER , JON & JANETTE, 40800 HWY 88, PIONEER, CA 95666"
CAMANCHE NORTH SHORE RECREATION AREA,AMADOR,03-0029-MP,"2000 CAMANCHE RD, IONE, CA 95640, (209) 763-5912",146,"EAST BAY MUNICIPAL UTILITY DISTRICT, 15083 CAMANCHE PARKWAY SOUTH, VALLEY SPRINGS, CA 95252"
LAKE AMADOR RESORT,AMADOR,03-0030-MP,"7500 LAKE AMADOR DR, IONE, CA 95640, (209) 274-4739",4,"LOCKHART, ROBERT L., 7500 LAKE AMADOR DR, IONE, CA 95640"
MORIAH HEIGHTS MOBILE VILLAGE,AMADOR,03-0031-MP,"240 HWY 16 SACTO CO LINE, PLYMOUTH, CA 95669, (209) 245-6600",18,"HOPE FOUNDATION, PO BOX 798, RANCHO MURIETA, CA 95683"
RANCHO DEL ORO,AMADOR,03-0034-MP,"8825 OLD SACRAMENTO RD, PLYMOUTH, CA 95669",23,"ADVANTAGE GRANITE BAY, LLC, PO BOX 119, PLACIDA, FL 33946"
PLASSES RESORT,AMADOR,03-0035-MP,"30001 PLASSE RD, SILVER LAKE, CA 95666, (209) 258-8814",0,"PLASSE'S MEADOW GROUP, LLC, PO BOX 476, SUTTER CREEK, CA 95685"
ROARING CAMP,AMADOR,03-0038-MP,"PINE ACRES, PINE GROVE, CA 95665, (209) 296-4100",0,"RODMAN, ELTON, PO BOX 278, PINE GROVE, CA 95665"
PARDEE RECREATION AREA,AMADOR,03-0039-MP,"4900 STONEY CREEK RD, IONE, CA 95640, (209) 772-1472",6,"EAST BAY MUNICIPAL UTILITY DISTRICT, 15083 CAMANCHE PARKWAY S, VALLEY SPRINGS, CA 95252"
FOREST PINES MANUFACTURED HOUSING COMMUNITY - 2,AMADOR,03-0040-MP,"20371 HWY 88, PINE GROVE, CA 95665, (209) 223-9664",29,"HARMONY COMMUNITIES 2 LLC, 6653 EMBARCADERO DR SUITE # C, STOCKTON, CA 95219"
PIONEER CREEK MH COMMUNITY,AMADOR,03-0041-MP,"16565 PROSPECT PLACE RD, PIONEER, CA 95666, (209) 295-7307",64,"VISCOVICH FAMILY PARTNERSHIP, C/O CHUCK ALLEN PROPERTIES 44B BRENNAN ST, WATSONVILLE, CA 95076"
HIGHLANDS MHP,AMADOR,03-0042-MP,"150 CLINTON RD, JACKSON, CA 95642, (209) 223-2680",59,"LOVING FAMILY PARTNERSHIP OF JACKSON, 4995 DARBY RUSSELL RD, MURPHYS, CA 95247"
49ER VILLAGE RV RESORT,AMADOR,03-0043-MP,"18265 HWY 49, PLYMOUTH, CA 95669, (209) 245-6981",2,"SUN 49ER VILLAGE RV LLC, 27777 FRANKLIN RD SUITE # 200, SOUTHFIELD, MI 48034"
THE OAKS COMMUNITY ASSOCIATION,AMADOR,03-0046-MP,"5607 JACKSON VALLEY RD, IONE, CA 95640, (209) 274-6056",209,"THE OAKS COMMUNITY ASSOCIATION, 5607 JACKSON VALLEY RD, IONE, CA 95640"
MEADOW PINES ESTATES MHP,AMADOR,03-0047-MP,"23750 CARSON DR, PIONEER, CA 95666, (209) 274-2422",50,"CHAUVEL, ARNO F & JACOBSON, JERRY D, 24681 LA PLAZA NO 380, DANA POINT, CA 92629"
ROLLINGWOOD ESTATES,AMADOR,03-0048-MP,"20 ROLLINGWOOD DR #500, JACKSON, CA 95642, (209) 223-2288",219,"C AND L INVESTMENT COMPANY INC, 3090 FITE CIR SUITE # 203, SACRAMENTO, CA 95827"
PLYMOUTH MOBILE MANOR,AMADOR,03-0049-MP,"9419 LANDRUM ST, PLYMOUTH, CA 95669, (209) 743-4653",32,"RODERICK L JOHNSON TRUST, 500 GIUSEPPE CT SUITE # 2, ROSEVILLE, CA 95678"
CASTLE VILLAGE MOBILE HOME PARK,AMADOR,03-0050-MP,"1400 W MARLETTE ST, IONE, CA 95640, (209) 274-2050",120,"FUJINAKA CASTLE LP, 3090 FITE CIRCLE SUITE # 203, SACRAMENTO, CA 95827"
RANCHO CICADA RETREAT,AMADOR,03-0051-MP,"10001 BELL RD, PLYMOUTH, CA 95669, (209) 245-4841",0,"ROBERTS, DAVID, PO BOX 225, PLYMOUTH, CA 95669"
BRIDGE ST CT,BUTTE,04-0001-MP,"1945 BRIDGE ST, OROVILLE, CA 95966, (530) 533-2169",9,"VON BARGEN, KAREN, 180 NARANJA AVE, OROVILLE, CA 95966"
PINE VIEW HEIGHTS MHP,BUTTE,04-0003-MP,"34 WAYLAND RD, PARADISE, CA 95967, (530) 864-5463",15,"NELSON, PAUL, 1298 EAST AVE, CHICO, CA 95926"
HUDSONS MOBILE HOME PARK,BUTTE,04-0004-MP,"7974 SKYWAY, PARADISE, CA 95969, (530) 872-1573",12,"EDGECOMB, DAVID & NADINE, TRUSTERS OF THE EDGECOMB REVOCABLE INTER VIVCS TRUST & SCOTT HUDSON, 5630 CHERRY LANE, PARADISE, CA 95969"
PHEASANT RIDGE MOBILE ESTATES,BUTTE,04-0005-MP,"7075 CLARK RD, PARADISE, CA 95969, (530) 872-9563",67,"PHEASANT, RIDGE ASSET PARTNERS, LP, PO BOX 2308, LAGUNA HILLS, CA 92654"
RAMBLING ROSE MP,BUTTE,04-0007-MP,"1679 OROVILLE DAM BLVD WEST, OROVILLE, CA 95965, (530) 514-6686",13,"SMITH, CURTIS, PO BOX 1147, PARADISE, CA 95967"
O GRIDLEY TP,BUTTE,04-0009-MP,"260 OHIO ST, GRIDLEY, CA 95948, (530) 846-0635",0,"SALL, JANICE, 2195 ROBAILEY DR, CHICO, CA 95928"
LASSEN MHP,BUTTE,04-0011-MP,"2875 MORSEMAN AVE, CHICO, CA 95973, (530) 343-3941",73,"BUTLER FAMILY ENTERPRISES LLC, 236 W EAST AVE PMB 256 SUITE # A, CHICO, CA 95926"
LINDO MOTEL APTS\TP,BUTTE,04-0012-MP,"113 W LINDO AVE, CHICO, CA 95926, (530) 591-3610",0,"PIACENTINE, DENNIS, 3156 BELL RD, CHICO, CA 95973"
OROLAKE MOBILE HOME PARK,BUTTE,04-0014-MP,"3425 ORANGE ST, OROVILLE, CA 95966, (530) 894-0404",23,"SPP OROVILLE 3 LLC, 88 ASPEN GLEN CT, EDWARDS, CO 81632"
PARADISE TP,BUTTE,04-0016-MP,"6154 LUCKY JOHN RD, PARADISE, CA 95969, (530) 877-6015",2,"HAYGOOD, MARGOT, PO BOX 5786, REDWOOD CITY, CA 94063"
PARAMOUNT TP,BUTTE,04-0021-MP,"2328 ESPLANADE, CHICO, CA 95926, (530) 343-3855",35,"KHAN, MOHAMED ASLAM & MOHAMED, BASHIRAN, PO BOX 35, BUTTE CITY, CA 95920"
ROBINSON CORNER PARK,BUTTE,04-0022-MP,"1643 E GRIDLEY RD, OROVILLE, CA 95965, (858) 361-4499",20,"DHILLON, AVTAR, PO BOX 494, YUBA CITY, CA 95992"
SHADY REST MOBILE HOME PARK,BUTTE,04-0026-MP,"37 ACACIA AVE, OROVILLE, CA 95966, (530) 222-8261",23,"SHADY REST MHP, LLC, 1075 SPACE PARK WAY #298, MOUNTAIN VIEW, CA 94043"
MERCED TRAILER CT,BUTTE,04-0027-MP,"1607 ORO DAM BLVD WEST, OROVILLE, CA 95965, (530) 846-4227",9,"WEINZINGER, ROBERT & NANCY, 1374 HIGHWAY 70, OROVILLE, CA 95965"
BUTTE GRANDE MHP,BUTTE,04-0030-MP,"1405 HWY 99, GRIDLEY, CA 95948, (209) 845-3836",29,"HL ANGEL LLC, 9009 CHAFF CT, ELK GROVE, CA 95758"
PARADISE MOBILE ESTATES,BUTTE,04-0032-MP,"1354 ELLIOTT RD, PARADISE, CA 95969, (530) 826-0325",39,"PARADISE MOBILE ESTATES,LLC, 3308 EL CAMINO AVE SUITE 300-608, SACRAMENTO, CA 95835"
OAK STREET MHP,BUTTE,04-0036-MP,"1681 OAK ST, OROVILLE, CA 95965, (530) 533-0106",15,"OAK STREET MHP LLC, 221 MAIN STREET SUITE # 2039, LOS ALTOS, CA 94023"
EVERGREEN MHP,BUTTE,04-0037-MP,"7209 SKYWAY, PARADISE, CA 95969, (530) 877-5413",36,"WESTERN PACIFIC DEVELOPMENT, 169 VALLEY HILL DR, MORAGA, CA 94556"
CHICO TRAILER HAVEN,BUTTE,04-0039-MP,"1412 NORD AVE, CHICO, CA 95926, (209) 932-8747",41,"CHICO TRAILER HAVEN LLC, 3511 DEL PASO RD SUITE 160/147, SACRAMENTO, CA 95835"
SUNDOWN MHP,BUTTE,04-0040-MP,"1616/1668 ORO DAM BLVD WEST, OROVILLE, CA 95965, (530) 533-6059",71,"SUNDOWN ESTATES MHC, 3308 EL CAMINO AVE STE 300-608, SACRAMENTO, CA 95821"
J AND M,BUTTE,04-0041-MP,"5770 CLARK RD, PARADISE, CA 95969, (530) 533-1362",6,"NEADE, MIKE, 4440 CLARK RD., OROVILLE, CA 95965"
ACRES OF PARADISE MHP,BUTTE,04-0042-MP,"6280 PENTZ RD, PARADISE, CA 95969, (909) 793-5233",53,"ACRES OF PARADISE MHP LLC, 3511 DEL PASO RD SUITE # 160-240, SACRAMENTO, CA 95835"
BIG BEND MHP,BUTTE,04-0043-MP,"4318 4320 BIG BEND RD, OROVILLE, CA 95965, (843) 251-7800",35,"FNX3 LLC, PO BOX 355, OREGON HOUSE, CA 95962"
PINECREST MOBILE HOME PARK,BUTTE,04-0044-MP,"5436 CLARK RD, PARADISE, CA 95969, (530) 877-4351",77,"PINECREST MOBILE HOME PARK LLC, 20 DECLARATION DR SUITE # 200, CHICO, CA 95973"
PINE SPRINGS MHP,BUTTE,04-0045-MP,"6920 CLARK RD, PARADISE, CA 95969, (530) 877-1467",63,"PINE SPRINGS ASSET PARTNERS,LP, PO BOX 2308, LAGUNA HILLS, CA 92654"
SKYWAY VILLA MHP,BUTTE,04-0046-MP,"7726 SKYWAY, PARADISE, CA 95969, (530) 877-1350",31,"SKYWAY VALUE LLC, 25616 NARBONNE AVE SUITE # 102, LOMITA, CA 90717"
PLEASANT VALLEY MOBILE HOME COMMUNITY,BUTTE,04-0048-MP,"3415 ORO DAM BLVD EAST, OROVILLE, CA 95965, (530) 533-9282",80,"PLEASANT VALLEY MHC, 3308 EL CAMINO AVE 300-608, SACRAMENTO, CA 95821"
